Time,Tensile strain (Strain 1),Tensile stress
(s),(%),(MPa)
0,0,0
0.1,0.01,10
0.2,0.02,20
0.3,0.03,30
0.4,0.04,40
0.5,0.05,50
0.6,0.06,60
0.7,0.07,70
0.8,0.08,80
0.9,0.09,90
1,0.1,100
1.1,0.11,110
1.2,0.12,120
1.3,0.13,130
1.4,0.14,140
1.5,0.15,150
1.6,0.16,160
1.7,0.17,170
1.8,0.18,180
1.9,0.19,190
2,0.2,200
2.1,0.21,210
2.2,0.22,220
2.3,0.23,230
2.4,0.24,240
2.5,0.25,250
2.6,0.26,260
2.7,0.27,270
2.8,0.28,280
2.9,0.29,290
3,0.3,300
3.1,0.31,310
3.2,0.32,320
3.3,0.33,330
3.4,0.34,340
3.5,0.35,350
3.6,0.36,360
3.7,0.37,370
3.8,0.38,380
3.9,0.39,390
4,0.4,400
4.1,0.41,410
4.2,0.42,420
4.3,0.43,430
4.4,0.44,440
4.5,0.45,441.798417
4.6,0.46,442.681143
4.7,0.47,443.559255
4.8,0.48,444.432778
4.9,0.49,445.301736
5,0.5,446.166153
5.1,0.51,447.026053
5.2,0.52,447.881459
5.3,0.53,448.732394
5.4,0.54,449.578883
5.5,0.55,450.420947
5.6,0.56,451.258611
5.7,0.57,452.091898
5.8,0.58,452.920829
5.9,0.59,453.745429
6,0.6,454.565719
6.1,0.61,455.381722
6.2,0.62,456.193461
6.3,0.63,457.000958
6.4,0.64,457.804235
6.5,0.65,458.603313
6.6,0.66,459.398216
6.7,0.67,460.188965
6.8,0.68,460.975581
6.9,0.69,461.758086
7,0.7,462.536502
7.1,0.71,463.31085
7.2,0.72,464.081151
7.3,0.73,464.847427
7.4,0.74,465.609698
7.5,0.75,466.367985
7.6,0.76,467.12231
7.7,0.77,467.872692
7.8,0.78,468.619153
7.9,0.79,469.361713
8,0.8,470.100393
8.1,0.81,470.835211
8.2,0.82,471.56619
8.3,0.83,472.293349
8.4,0.84,473.016707
8.5,0.85,473.736286
8.6,0.86,474.452103
8.7,0.87,475.16418
8.8,0.88,475.872536
8.9,0.89,476.577189
9,0.9,477.27816
9.1,0.91,477.975468
9.2,0.92,478.669132
9.3,0.93,479.35917
9.4,0.94,480.045603
9.5,0.95,480.728448
9.6,0.96,481.407725
9.7,0.97,482.083451
9.8,0.98,482.755647
9.9,0.99,483.424329
10,1,484.089517
10.589583,1.058958,487.941286
11.179167,1.117917,491.675884
11.76875,1.176875,495.296874
12.358333,1.235833,498.807714
12.947917,1.294792,502.211753
13.5375,1.35375,505.51224
14.127083,1.412708,508.712326
14.716667,1.471667,511.815064
15.30625,1.530625,514.823417
15.895833,1.589583,517.740255
16.485417,1.648542,520.568362
17.075,1.7075,523.310438
17.664583,1.766458,525.969099
18.254167,1.825417,528.546883
18.84375,1.884375,531.04625
19.433333,1.943333,533.469586
20.022917,2.002292,535.819204
20.6125,2.06125,538.097346
21.202083,2.120208,540.306186
21.791667,2.179167,542.447833
22.38125,2.238125,544.524331
22.970833,2.297083,546.537661
23.560417,2.356042,548.489745
24.15,2.415,550.382446
24.739583,2.473958,552.217572
25.329167,2.532917,553.996872
25.91875,2.591875,555.722045
26.508333,2.650833,557.394739
27.097917,2.709792,559.016548
27.6875,2.76875,560.589022
28.277083,2.827708,562.113661
28.866667,2.886667,563.591921
29.45625,2.945625,565.025211
30.045833,3.004583,566.4149
30.635417,3.063542,567.762315
31.225,3.1225,569.068741
31.814583,3.181458,570.335425
32.404167,3.240417,571.563577
32.99375,3.299375,572.754367
33.583333,3.358333,573.908934
34.172917,3.417292,575.028379
34.7625,3.47625,576.11377
35.352083,3.535208,577.166143
35.941667,3.594167,578.186502
36.53125,3.653125,579.175822
37.120833,3.712083,580.135047
37.710417,3.771042,581.065092
38.3,3.83,581.966845
38.889583,3.888958,582.841166
39.479167,3.947917,583.688891
40.06875,4.006875,584.510827
40.658333,4.065833,585.30776
41.247917,4.124792,586.08045
41.8375,4.18375,586.829635
42.427083,4.242708,587.556029
43.016667,4.301667,588.260326
43.60625,4.360625,588.943199
44.195833,4.419583,589.605298
44.785417,4.478542,590.247256
45.375,4.5375,590.869685
45.964583,4.596458,591.473181
46.554167,4.655417,592.058317
47.14375,4.714375,592.625654
47.733333,4.773333,593.175732
48.322917,4.832292,593.709077
48.9125,4.89125,594.226197
49.502083,4.950208,594.727587
50.091667,5.009167,595.213724
50.68125,5.068125,595.685072
51.270833,5.127083,596.142082
51.860417,5.186042,596.58519
52.45,5.245,597.014818
53.039583,5.303958,597.431377
53.629167,5.362917,597.835265
54.21875,5.421875,598.226865
54.808333,5.480833,598.606554
55.397917,5.539792,598.974692
55.9875,5.59875,599.331631
56.577083,5.657708,599.677712
57.166667,5.716667,600.013265
57.75625,5.775625,600.338611
58.345833,5.834583,600.654059
58.935417,5.893542,600.959912
59.525,5.9525,601.25646
60.114583,6.011458,601.543988
60.704167,6.070417,601.822768
61.29375,6.129375,602.093068
61.883333,6.188333,602.355146
62.472917,6.247292,602.609251
63.0625,6.30625,602.855626
63.652083,6.365208,603.094507
64.241667,6.424167,603.32612
64.83125,6.483125,603.550688
65.420833,6.542083,603.768425
66.010417,6.601042,603.979538
66.6,6.66,604.184228
67.189583,6.718958,604.382693
67.779167,6.777917,604.575119
68.36875,6.836875,604.761692
68.958333,6.895833,604.94259
69.547917,6.954792,605.117984
70.1375,7.01375,605.288043
70.727083,7.072708,605.452929
71.316667,7.131667,605.612799
71.90625,7.190625,605.767806
72.495833,7.249583,605.918097
73.085417,7.308542,606.063817
73.675,7.3675,606.205103
74.264583,7.426458,606.342092
74.854167,7.485417,606.474913
75.44375,7.544375,606.603694
76.033333,7.603333,606.728558
76.622917,7.662292,606.849623
77.2125,7.72125,606.967005
77.802083,7.780208,607.080816
78.391667,7.839167,607.191166
78.98125,7.898125,607.298158
79.570833,7.957083,607.401896
80.160417,8.016042,607.502478
80.75,8.075,607.6
81.996875,8.199687,607.069311
83.24375,8.324375,606.199503
84.490625,8.449063,605.129358
85.7375,8.57375,603.904067
86.984375,8.698438,602.548759
88.23125,8.823125,601.079936
89.478125,8.947813,599.509463
90.725,9.0725,597.846374
91.971875,9.197188,596.097834
93.21875,9.321875,594.269694
94.465625,9.446562,592.366845
95.7125,9.57125,590.393448
96.959375,9.695937,588.3531
98.20625,9.820625,586.248944
99.453125,9.945313,584.083761
100.7,10.07,581.860028
101.946875,10.194687,579.57997
103.19375,10.319375,577.245603
104.440625,10.444063,574.858758
105.6875,10.56875,572.421113
106.934375,10.693437,569.934207
108.18125,10.818125,567.399463
109.428125,10.942813,564.818198
110.675,11.0675,562.191637
111.921875,11.192188,559.520924
113.16875,11.316875,556.807126
114.415625,11.441562,554.051246
115.6625,11.56625,551.254226
116.909375,11.690938,548.416956
118.15625,11.815625,545.540273
119.403125,11.940312,542.624972
120.65,12.065,539.671805
121.896875,12.189687,536.681487
123.14375,12.314375,533.654698
124.390625,12.439063,530.592085
125.6375,12.56375,527.494266
126.884375,12.688437,524.361831
128.13125,12.813125,521.195346
129.378125,12.937813,517.995349
130.625,13.0625,514.76236
131.871875,13.187188,511.496877
133.11875,13.311875,508.199376
134.365625,13.436562,504.870319
135.6125,13.56125,501.510147
136.859375,13.685938,498.119286
138.10625,13.810625,494.698148
139.353125,13.935313,491.247129
140.6,14.06,487.766613
141.846875,14.184687,484.25697
143.09375,14.309375,480.718557
144.340625,14.434062,477.151722
145.5875,14.55875,473.556801
146.834375,14.683438,469.934118
148.08125,14.808125,466.28399
149.328125,14.932812,462.606722
150.575,15.0575,458.902612
151.821875,15.182187,455.171948
153.06875,15.306875,451.41501
154.315625,15.431563,447.632072
155.5625,15.55625,443.823399
156.809375,15.680938,439.989249
158.05625,15.805625,436.129874
159.303125,15.930312,432.245518
160.55,16.055,428.33642
161.796875,16.179688,424.402813
163.04375,16.304375,420.444923
164.290625,16.429063,416.462973
165.5375,16.55375,412.457178
166.784375,16.678437,408.42775
168.03125,16.803125,404.374894
169.278125,16.927813,400.298812
170.525,17.0525,396.199701
171.771875,17.177188,392.077753
173.01875,17.301875,387.933156
174.265625,17.426562,383.766095
175.5125,17.55125,379.57675
176.759375,17.675937,375.365297
178.00625,17.800625,371.131908
179.253125,17.925313,366.876754
180.5,18.05,72.52
