Time,Tensile strain (Strain 1),Tensile stress
(s),(%),(MPa)
0,0,0
0.1,0.01,7
0.2,0.02,14
0.3,0.03,21
0.4,0.04,28
0.5,0.05,35
0.6,0.06,42
0.7,0.07,49
0.8,0.08,56
0.9,0.09,63
1,0.1,70
1.1,0.11,77
1.2,0.12,84
1.3,0.13,91
1.4,0.14,98
1.5,0.15,105
1.6,0.16,112
1.7,0.17,119
1.8,0.18,126
1.9,0.19,133
2,0.2,140
2.1,0.21,147
2.2,0.22,154
2.3,0.23,161
2.4,0.24,168
2.5,0.25,175
2.6,0.26,182
2.7,0.27,189
2.8,0.28,196
2.9,0.29,203
3,0.3,210
3.1,0.31,217
3.2,0.32,224
3.3,0.33,231
3.4,0.34,238
3.5,0.35,245
3.6,0.36,252
3.7,0.37,259
3.8,0.38,264.700028
3.9,0.39,265.199169
4,0.4,265.696646
4.1,0.41,266.192462
4.2,0.42,266.686625
4.3,0.43,267.17914
4.4,0.44,267.670011
4.5,0.45,268.159246
4.6,0.46,268.646848
4.7,0.47,269.132825
4.8,0.48,269.61718
4.9,0.49,270.099919
5,0.5,270.581049
5.1,0.51,271.060573
5.2,0.52,271.538498
5.3,0.53,272.014829
5.4,0.54,272.489571
5.5,0.55,272.96273
5.6,0.56,273.43431
5.7,0.57,273.904317
5.8,0.58,274.372757
5.9,0.59,274.839634
6,0.6,275.304954
6.1,0.61,275.768721
6.2,0.62,276.230942
6.3,0.63,276.691621
6.4,0.64,277.150763
6.5,0.65,277.608374
6.6,0.66,278.064459
6.7,0.67,278.519022
6.8,0.68,278.972069
6.9,0.69,279.423605
7,0.7,279.873635
7.1,0.71,280.322163
7.2,0.72,280.769196
7.3,0.73,281.214737
7.4,0.74,281.658792
7.5,0.75,282.101366
7.6,0.76,282.542464
7.7,0.77,282.982091
7.8,0.78,283.420251
7.9,0.79,283.85695
8,0.8,284.292192
8.1,0.81,284.725982
8.2,0.82,285.158325
8.3,0.83,285.589227
8.4,0.84,286.01869
8.5,0.85,286.446722
8.6,0.86,286.873326
8.7,0.87,287.298506
8.8,0.88,287.722269
8.9,0.89,288.144618
9,0.9,288.565558
9.1,0.91,288.985094
9.2,0.92,289.403231
9.3,0.93,289.819973
9.4,0.94,290.235325
9.5,0.95,290.649292
9.6,0.96,291.061878
9.7,0.97,291.473087
9.8,0.98,291.882925
9.9,0.99,292.291396
10,1,292.698505
10.945833,1.094583,296.482538
11.891667,1.189167,300.14886
12.8375,1.28375,303.701132
13.783333,1.378333,307.142902
14.729167,1.472917,310.477607
15.675,1.5675,313.708579
16.620833,1.662083,316.839043
17.566667,1.756667,319.872127
18.5125,1.85125,322.810859
19.458333,1.945833,325.658175
20.404167,2.040417,328.416918
21.35,2.135,331.089844
22.295833,2.229583,333.679622
23.241667,2.324167,336.188839
24.1875,2.41875,338.620001
25.133333,2.513333,340.975536
26.079167,2.607917,343.257796
27.025,2.7025,345.46906
27.970833,2.797083,347.611539
28.916667,2.891667,349.68737
29.8625,2.98625,351.698627
30.808333,3.080833,353.64732
31.754167,3.175417,355.535393
32.7,3.27,357.364734
33.645833,3.364583,359.137168
34.591667,3.459167,360.854467
35.5375,3.55375,362.518345
36.483333,3.648333,364.130464
37.429167,3.742917,365.692435
38.375,3.8375,367.205816
39.320833,3.932083,368.67212
40.266667,4.026667,370.092811
41.2125,4.12125,371.469308
42.158333,4.215833,372.802986
43.104167,4.310417,374.095177
44.05,4.405,375.347171
44.995833,4.499583,376.560218
45.941667,4.594167,377.735531
46.8875,4.68875,378.874283
47.833333,4.783333,379.977611
48.779167,4.877917,381.046618
49.725,4.9725,382.082371
50.670833,5.067083,383.085904
51.616667,5.161667,384.058219
52.5625,5.25625,385.000289
53.508333,5.350833,385.913053
54.454167,5.445417,386.797423
55.4,5.54,387.654283
56.345833,5.634583,388.484489
57.291667,5.729167,389.288868
58.2375,5.82375,390.068226
59.183333,5.918333,390.82334
60.129167,6.012917,391.554964
61.075,6.1075,392.263829
62.020833,6.202083,392.950643
62.966667,6.296667,393.616093
63.9125,6.39125,394.260842
64.858333,6.485833,394.885534
65.804167,6.580417,395.490794
66.75,6.675,396.077226
67.695833,6.769583,396.645415
68.641667,6.864167,397.195929
69.5875,6.95875,397.729319
70.533333,7.053333,398.246116
71.479167,7.147917,398.746837
72.425,7.2425,399.231982
73.370833,7.337083,399.702035
74.316667,7.431667,400.157466
75.2625,7.52625,400.598729
76.208333,7.620833,401.026266
77.154167,7.715417,401.440504
78.1,7.81,401.841856
79.045833,7.904583,402.230723
79.991667,7.999167,402.607493
80.9375,8.09375,402.972542
81.883333,8.188333,403.326236
82.829167,8.282917,403.668928
83.775,8.3775,404.000959
84.720833,8.472083,404.322662
85.666667,8.566667,404.634357
86.6125,8.66125,404.936356
87.558333,8.755833,405.228961
88.504167,8.850417,405.512464
89.45,8.945,405.787147
90.395833,9.039583,406.053286
91.341667,9.134167,406.311146
92.2875,9.22875,406.560985
93.233333,9.323333,406.803052
94.179167,9.417917,407.037589
95.125,9.5125,407.26483
96.070833,9.607083,407.485002
97.016667,9.701667,407.698325
97.9625,9.79625,407.905012
98.908333,9.890833,408.105269
99.854167,9.985417,408.299298
100.8,10.08,408.48729
101.745833,10.174583,408.669435
102.691667,10.269167,408.845913
103.6375,10.36375,409.016902
104.583333,10.458333,409.182571
105.529167,10.552917,409.343087
106.475,10.6475,409.49861
107.420833,10.742083,409.649295
108.366667,10.836667,409.795293
109.3125,10.93125,409.936749
110.258333,11.025833,410.073804
111.204167,11.120417,410.206596
112.15,11.215,410.335258
113.095833,11.309583,410.459917
114.041667,11.404167,410.580698
114.9875,11.49875,410.697722
115.933333,11.593333,410.811106
116.879167,11.687917,410.920962
117.825,11.7825,411.027402
118.770833,11.877083,411.13053
119.716667,11.971667,411.23045
120.6625,12.06625,411.327262
121.608333,12.160833,411.421062
122.554167,12.255417,411.511945
123.5,12.35,411.6
125.28125,12.528125,411.281587
127.0625,12.70625,410.759702
128.84375,12.884375,410.117615
130.625,13.0625,409.38244
132.40625,13.240625,408.569255
134.1875,13.41875,407.687962
135.96875,13.596875,406.745678
137.75,13.775,405.747825
139.53125,13.953125,404.698701
141.3125,14.13125,403.601817
143.09375,14.309375,402.460107
144.875,14.4875,401.276069
146.65625,14.665625,400.05186
148.4375,14.84375,398.789367
150.21875,15.021875,397.490257
152,15.2,396.156017
153.78125,15.378125,394.787982
155.5625,15.55625,393.387362
157.34375,15.734375,391.955255
159.125,15.9125,390.492668
160.90625,16.090625,389.000524
162.6875,16.26875,387.479678
164.46875,16.446875,385.930919
166.25,16.625,384.354982
168.03125,16.803125,382.752554
169.8125,16.98125,381.124275
171.59375,17.159375,379.470747
173.375,17.3375,377.792536
175.15625,17.515625,376.090174
176.9375,17.69375,374.364164
178.71875,17.871875,372.614983
180.5,18.05,370.843083
182.28125,18.228125,369.048892
184.0625,18.40625,367.232819
185.84375,18.584375,365.395251
187.625,18.7625,363.53656
189.40625,18.940625,361.657099
191.1875,19.11875,359.757207
192.96875,19.296875,357.837209
194.75,19.475,355.897416
196.53125,19.653125,353.938126
198.3125,19.83125,351.959626
200.09375,20.009375,349.962191
201.875,20.1875,347.946088
203.65625,20.365625,345.911571
205.4375,20.54375,343.858889
207.21875,20.721875,341.788277
209,20.9,339.699968
210.78125,21.078125,337.594182
212.5625,21.25625,335.471134
214.34375,21.434375,333.331033
216.125,21.6125,331.174081
217.90625,21.790625,329.000471
219.6875,21.96875,326.810394
221.46875,22.146875,324.604033
223.25,22.325,322.381567
225.03125,22.503125,320.143169
226.8125,22.68125,317.889006
228.59375,22.859375,315.619243
230.375,23.0375,313.33404
232.15625,23.215625,311.033549
233.9375,23.39375,308.717924
235.71875,23.571875,306.387311
237.5,23.75,304.041852
239.28125,23.928125,301.681688
241.0625,24.10625,299.306954
242.84375,24.284375,296.917784
244.625,24.4625,294.514307
246.40625,24.640625,292.09665
248.1875,24.81875,289.664936
249.96875,24.996875,287.219287
251.75,25.175,284.75982
253.53125,25.353125,282.286652
255.3125,25.53125,279.799894
257.09375,25.709375,277.299657
258.875,25.8875,274.78605
260.65625,26.065625,272.259178
262.4375,26.24375,269.719145
264.21875,26.421875,267.166053
266,26.6,52.92
